id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
903,GRAMPIAN SOVEREIGN,2079437583,REPSOL,-1881188397,CARNOUSTIE,-2071798339,1,0,10
904,BRAGE SUPPLIER,210364477,REPSOL,-1881188397,BUCHAN,1970090533,1,0,41
905,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,SCOLTY,-1854442638,3,0,38
906,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
907,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
908,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
909,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,7,0,21
910,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,7,0,3
911,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,7,0,20
912,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,7,0,1
913,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,7,0,2
914,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,7,0,17
915,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,7,0,18
916,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
917,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
918,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,1,0,47
919,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,TWEEDSMUIR,1171872259,3,0,43
920,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
921,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,3,0,11
922,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,2,0,37
923,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,2,0,35
924,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
925,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
926,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,4,0,17
927,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,4,0,18
928,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,4,0,21
929,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,4,0,20
930,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
931,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,1,0,20
932,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,1,0,64
933,EDDA FRIGG,2061095641,BP,2126,MIRREN,-2020581755,1,0,65
934,EDDA FRIGG,2061095641,BP,2126,MIRREN,-2020581755,2,0,65
935,EDDA FRIGG,2061095641,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
936,NORTH     MARINER,657095701,NEXEN,74177002,BUZZARD,965041792,1,0,47
937,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
938,SEA TANTALUS,1033933901,NEXEN,74177002,ETTRICK,-701815836,2,0,45
939,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,TWEEDSMUIR,1171872259,2,0,43
940,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
941,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,4,0,9
942,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,4,0,7
943,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,4,0,11
944,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,0,10
945,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,3,0,12
